Dataset,Minsup_Pct,Minsup_Count,Num_FI_Our,Num_FI_SPMF,Matched,Match_Rate_Pct,Analysis
Chess,85.0,2717,2669,2669,2669,100.0,MATCH
Chess,80.0,2557,8227,8227,8227,100.0,MATCH
Chess,75.0,2397,20993,20993,20993,100.0,MATCH
Mushroom,30.0,2438,2735,2735,2735,100.0,MATCH
Mushroom,25.0,2031,5545,5545,5545,100.0,MATCH
Mushroom,20.0,1625,53583,53583,53583,100.0,MATCH
Retail,5.0,4409,16,16,16,100.0,MATCH
Retail,3.0,2645,32,32,32,100.0,MATCH
Retail,2.0,1764,55,55,55,100.0,MATCH
Accidents,90.0,306165,31,31,31,100.0,MATCH
Accidents,85.0,289156,71,71,71,100.0,MATCH
Accidents,80.0,272147,149,149,149,100.0,MATCH
T10I4D100K,5.0,5000,10,10,10,100.0,MATCH
T10I4D100K,4.0,4000,26,26,26,100.0,MATCH
T10I4D100K,3.0,3000,60,60,60,100.0,MATCH
