Dataset,Minsup_Pct,Time_Basic_ms,Time_Opt_ms,Time_SPMF_ms,Num_FI
Chess,90.0,21.1,13.82,326.19,622
Chess,85.0,86.43,54.73,361.57,2669
Chess,80.0,398.44,168.97,372.6,8227
Chess,75.0,859.93,415.04,380.03,20993
Chess,70.0,1441.52,956.27,389.62,48731
Chess,65.0,2990.16,2007.67,427.32,111239
Mushroom,40.0,39.69,28.18,377.69,565
Mushroom,35.0,57.31,57.39,352.47,1189
Mushroom,30.0,177.07,163.49,376.41,2735
Mushroom,25.0,213.93,228.92,378.11,5545
Mushroom,20.0,1446.59,922.78,416.72,53583
Mushroom,15.0,2073.88,1373.64,450.98,98575
Retail,10.0,26.95,42.85,390.42,9
Retail,7.0,29.69,34.07,399.2,13
Retail,5.0,30.95,43.86,391.24,16
Retail,3.0,31.52,60.3,419.56,32
Retail,2.0,32.53,201.01,392.81,55
Accidents,95.0,272.65,416.37,851.0,15
Accidents,90.0,444.17,750.87,856.76,31
Accidents,85.0,1003.34,1300.84,832.99,71
Accidents,80.0,2219.32,2942.39,875.23,149
Accidents,75.0,5275.71,8140.76,879.1,313
Accidents,70.0,8415.09,10968.62,886.87,529
T10I4D100K,10.0,13.89,16.56,365.68,0
T10I4D100K,7.0,20.43,23.26,370.56,2
T10I4D100K,6.0,24.67,28.79,382.75,4
T10I4D100K,5.0,29.46,58.95,377.91,10
T10I4D100K,4.0,34.31,260.24,395.66,26
T10I4D100K,3.0,43.53,531.8,489.19,60
