Dataset,Minsup_Pct,Time_Basic_ms,Time_Opt_ms,Time_SPMF_ms,Num_FI
Chess,90.0,31.61,27.63,467.94,622
Chess,85.0,133.44,92.0,491.13,2669
Chess,80.0,478.26,218.53,507.24,8227
Chess,75.0,971.0,524.35,521.46,20993
Chess,70.0,2655.0,1785.36,567.01,48731
Chess,65.0,6064.96,2610.4,602.96,111239
Mushroom,40.0,56.4,33.66,492.25,565
Mushroom,35.0,88.73,85.53,514.54,1189
Mushroom,30.0,278.7,202.93,512.49,2735
Mushroom,25.0,340.32,293.8,538.38,5545
Mushroom,20.0,2049.09,1243.32,628.93,53583
Mushroom,15.0,2791.79,1899.62,643.36,98575
Retail,10.0,37.79,44.27,578.85,9
Retail,7.0,43.42,50.52,577.52,13
Retail,5.0,47.13,54.81,559.24,16
Retail,3.0,46.17,83.67,595.63,32
Retail,2.0,53.87,212.1,605.6,55
Accidents,95.0,371.14,558.69,1193.94,15
Accidents,90.0,579.56,894.52,1247.28,31
Accidents,85.0,1293.61,1716.02,1179.77,71
Accidents,80.0,2869.8,3726.26,1246.05,149
Accidents,75.0,5861.23,8126.4,1228.04,313
Accidents,70.0,9548.44,14136.93,1264.58,529
T10I4D100K,10.0,19.98,21.67,482.65,0
T10I4D100K,7.0,28.45,34.09,529.82,2
T10I4D100K,6.0,36.16,38.18,533.67,4
T10I4D100K,5.0,48.05,81.67,554.76,10
T10I4D100K,40.0,26.39,27.08,504.48,0
T10I4D100K,3.0,70.34,629.52,689.11,60
